k	`Bk
0.020050	1.001376
0.225753	1.019723
0.431457	1.007934
0.637160	1.000844
0.842863	0.969635
1.048567	0.961536
1.254270	0.941372
1.459973	0.948747
1.665677	0.934429
1.871380	0.909787
2.077083	0.910771
2.282787	0.914487
2.488490	0.906177
2.694193	0.899205
2.899897	0.902009
3.105600	0.895503
3.311303	0.900511
3.517007	0.898245
3.722710	0.895789
3.928413	0.899747
4.134117	0.902458
4.339820	0.898446
4.545523	0.902004
4.751227	0.904087
4.956930	0.907198
5.162633	0.903491
5.368337	0.903532
5.574040	0.906055
5.779743	0.900373
5.985447	0.904605
6.191150	0.907679
6.396853	0.906756
6.602557	0.898883
6.808260	0.906163
7.013963	0.908907
7.219667	0.909069
7.425370	0.903460
7.631073	0.911090
7.836777	0.905994
8.042480	0.905165
