
Lmod is automatically replacing "cray-mpich/9.0.1" with "cray-mpich-abi/9.0.1".

Running forecast for file: python CubicGalileonForecasts.py ./ini_files/config_run_ell3000_k0p3.yaml
Number of models loaded: 50 from: /global/homes/c/carolazn/CubicGalileonEmu/CubicGalileonEmu/model/
4.182345109176885e-05
Horndeski functions initialized.
Reading cosmo file to get the parameters of the data vector...
(265275, 10)
(705, 705)
(300,)
ex_inds= [15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 55, 56, 57, 58, 59, 75, 76, 77, 78, 79, 95, 96, 97, 98, 99, 115, 116, 117, 118, 119, 135, 136, 137, 138, 139, 155, 156, 157, 158, 159, 175, 176, 177, 178, 179, 195, 196, 197, 198, 199, 215, 216, 217, 218, 219, 235, 236, 237, 238, 239, 255, 256, 257, 258, 259, 275, 276, 277, 278, 279, 295, 296, 297, 298, 299, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 411, 412, 413, 414, 415, 416, 417, 418, 419, 431, 432, 433, 434, 435, 436, 437, 438, 439, 449, 450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 470, 471, 472, 473, 474, 475, 476, 477, 478, 479, 491, 492, 493, 494, 495, 496, 497, 498, 499, 512, 513, 514, 515, 516, 517, 518, 519, 532, 533, 534, 535, 536, 537, 538, 539]
Running MCMC...
Resuming nautilus run...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Sampling  | 72     | 1        | 4        | 270592   | 1.0000 | 8     | -63.03   
Computing | 72     | 1        | 4        | 270592   | 1.0000 | 8     | -63.03   
Sampling  | 72     | 1        | 4        | 270848   | 1.0000 | 8     | -63.09   
Computing | 72     | 1        | 4        | 270848   | 1.0000 | 8     | -63.09   
Sampling  | 72     | 1        | 4        | 271104   | 1.0000 | 8     | -63.14   
Computing | 72     | 1        | 4        | 271104   | 1.0000 | 8     | -63.14   
Sampling  | 72     | 1        | 4        | 271360   | 0.9999 | 8     | -63.19   
Computing | 72     | 1        | 4        | 271360   | 0.9999 | 8     | -63.19   
Sampling  | 72     | 1        | 4        | 271616   | 0.9999 | 8     | -63.23   
Computing | 72     | 1        | 4        | 271616   | 0.9999 | 8     | -63.23   
Sampling  | 72     | 1        | 4        | 271872   | 0.9999 | 9     | -63.20   
Computing | 72     | 1        | 4        | 271872   | 0.9999 | 9     | -63.20   
Sampling  | 72     | 1        | 4        | 272128   | 0.9999 | 10    | -63.24   
Computing | 72     | 1        | 4        | 272128   | 0.9999 | 10    | -63.24   
Sampling  | 72     | 1        | 4        | 272384   | 0.9999 | 10    | -63.29   
Computing | 72     | 1        | 4        | 272384   | 0.9999 | 10    | -63.29   
Sampling  | 72     | 1        | 4        | 272640   | 0.9999 | 10    | -63.29   
Computing | 72     | 1        | 4        | 272640   | 0.9999 | 10    | -63.29   
Sampling  | 72     | 1        | 4        | 272896   | 0.9999 | 11    | -63.32   
Computing | 72     | 1        | 4        | 272896   | 0.9999 | 11    | -63.32   
Sampling  | 72     | 1        | 4        | 273152   | 0.9999 | 11    | -63.35   
Computing | 72     | 1        | 4        | 273152   | 0.9999 | 11    | -63.35   
Sampling  | 72     | 1        | 4        | 273408   | 0.9998 | 12    | -63.33   
Computing | 72     | 1        | 4        | 273408   | 0.9998 | 12    | -63.33   
Bounding  | 72     | 1        | 4        | 273664   | 0.9998 | 12    | -63.37   
Sampling  | 73     | 1        | 4        | 273664   | 0.8410 | 2613  | -72.08   
Computing | 73     | 1        | 4        | 273664   | 0.8410 | 2613  | -72.08   
Sampling  | 73     | 1        | 4        | 273920   | 0.9998 | 12    | -63.41   
Computing | 73     | 1        | 4        | 273920   | 0.9998 | 12    | -63.41   
Sampling  | 73     | 1        | 4        | 274176   | 0.9997 | 13    | -63.43   
Computing | 73     | 1        | 4        | 274176   | 0.9997 | 13    | -63.43   
Sampling  | 73     | 1        | 4        | 274432   | 0.9997 | 15    | -63.42   
Computing | 73     | 1        | 4        | 274432   | 0.9997 | 15    | -63.42   
Sampling  | 73     | 1        | 4        | 274688   | 0.9996 | 16    | -63.44   
Computing | 73     | 1        | 4        | 274688   | 0.9996 | 16    | -63.44   
Sampling  | 73     | 1        | 4        | 274944   | 0.9995 | 17    | -63.48   
Computing | 73     | 1        | 4        | 274944   | 0.9995 | 17    | -63.48   
Sampling  | 73     | 1        | 4        | 275200   | 0.9995 | 18    | -63.51   
Computing | 73     | 1        | 4        | 275200   | 0.9995 | 18    | -63.51   
Sampling  | 73     | 1        | 4        | 275456   | 0.9994 | 19    | -63.54   
Computing | 73     | 1        | 4        | 275456   | 0.9994 | 19    | -63.54   
Sampling  | 73     | 1        | 4        | 275712   | 0.9993 | 21    | -63.53   
Computing | 73     | 1        | 4        | 275712   | 0.9993 | 21    | -63.53   
Sampling  | 73     | 1        | 4        | 275968   | 0.9992 | 21    | -63.57   
Computing | 73     | 1        | 4        | 275968   | 0.9992 | 21    | -63.57   
Sampling  | 73     | 1        | 4        | 276224   | 0.9991 | 22    | -63.59   
Computing | 73     | 1        | 4        | 276224   | 0.9991 | 22    | -63.59   
Sampling  | 73     | 1        | 4        | 276480   | 0.9990 | 24    | -63.60   
Computing | 73     | 1        | 4        | 276480   | 0.9990 | 24    | -63.60   
Sampling  | 73     | 1        | 4        | 276736   | 0.9989 | 24    | -63.62   
Computing | 73     | 1        | 4        | 276736   | 0.9989 | 24    | -63.62   
Sampling  | 73     | 1        | 4        | 276992   | 0.9988 | 26    | -63.60   
Computing | 73     | 1        | 4        | 276992   | 0.9988 | 26    | -63.60   
Bounding  | 73     | 1        | 4        | 277248   | 0.9988 | 29    | -63.56   
