
Lmod is automatically replacing "cray-mpich/9.0.1" with "cray-mpich-abi/9.0.1".

Running forecast for file: python CubicGalileonForecasts.py ./ini_files/config_run_ell1500_k0p2.yaml
Number of models loaded: 50 from: /global/homes/c/carolazn/CubicGalileonEmu/CubicGalileonEmu/model/
4.182345109176885e-05
Horndeski functions initialized.
Reading cosmo file to get the parameters of the data vector...
(265275, 10)
(705, 705)
(300,)
ex_inds= [13, 14, 15, 16, 17, 18, 19, 33, 34, 35, 36, 37, 38, 39, 53, 54, 55, 56, 57, 58, 59, 73, 74, 75, 76, 77, 78, 79, 93, 94, 95, 96, 97, 98, 99, 113, 114, 115, 116, 117, 118, 119, 133, 134, 135, 136, 137, 138, 139, 153, 154, 155, 156, 157, 158, 159, 173, 174, 175, 176, 177, 178, 179, 193, 194, 195, 196, 197, 198, 199, 213, 214, 215, 216, 217, 218, 219, 233, 234, 235, 236, 237, 238, 239, 253, 254, 255, 256, 257, 258, 259, 273, 274, 275, 276, 277, 278, 279, 293, 294, 295, 296, 297, 298, 299, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 430, 431, 432, 433, 434, 435, 436, 437, 438, 439, 448, 449, 450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 469, 470, 471, 472, 473, 474, 475, 476, 477, 478, 479, 490, 491, 492, 493, 494, 495, 496, 497, 498, 499, 510, 511, 512, 513, 514, 515, 516, 517, 518, 519, 531, 532, 533, 534, 535, 536, 537, 538, 539]
Running MCMC...
Resuming nautilus run...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Sampling  | 77     | 1        | 4        | 133632   | 0.1169 | 10501 | -63.32   
Computing | 77     | 1        | 4        | 133632   | 0.1169 | 10501 | -63.32   
Sampling  | 77     | 1        | 4        | 133888   | 0.1073 | 10782 | -63.32   
Computing | 77     | 1        | 4        | 133888   | 0.1073 | 10782 | -63.32   
Sampling  | 77     | 1        | 4        | 134144   | 0.0997 | 11019 | -63.32   
Computing | 77     | 1        | 4        | 134144   | 0.0997 | 11019 | -63.32   
Bounding  | 77     | 1        | 4        | 134400   | 0.0926 | 11230 | -63.32   
Sampling  | 78     | 1        | 4        | 134400   | 0.0511 | 10439 | -63.42   
Computing | 78     | 1        | 4        | 134400   | 0.0511 | 10439 | -63.42   
Sampling  | 78     | 1        | 4        | 134656   | 0.0815 | 11497 | -63.32   
Computing | 78     | 1        | 4        | 134656   | 0.0815 | 11497 | -63.32   
Sampling  | 78     | 1        | 4        | 134912   | 0.0732 | 11687 | -63.32   
Computing | 78     | 1        | 4        | 134912   | 0.0732 | 11687 | -63.32   
Sampling  | 78     | 1        | 4        | 135168   | 0.0665 | 11832 | -63.32   
Computing | 78     | 1        | 4        | 135168   | 0.0665 | 11832 | -63.32   
Sampling  | 78     | 1        | 4        | 135424   | 0.0612 | 11942 | -63.32   
Computing | 78     | 1        | 4        | 135424   | 0.0612 | 11942 | -63.32   
Bounding  | 78     | 1        | 4        | 135680   | 0.0564 | 12026 | -63.32   
Sampling  | 79     | 1        | 4        | 135680   | 0.0329 | 11156 | -63.38   
Computing | 79     | 1        | 4        | 135680   | 0.0329 | 11156 | -63.38   
Sampling  | 79     | 1        | 4        | 135936   | 0.0471 | 12108 | -63.32   
Computing | 79     | 1        | 4        | 135936   | 0.0471 | 12108 | -63.32   
Sampling  | 79     | 1        | 4        | 136192   | 0.0418 | 12172 | -63.32   
Computing | 79     | 1        | 4        | 136192   | 0.0418 | 12172 | -63.32   
Sampling  | 79     | 1        | 4        | 136448   | 0.0379 | 12224 | -63.32   
Computing | 79     | 1        | 4        | 136448   | 0.0379 | 12224 | -63.32   
Sampling  | 79     | 1        | 4        | 136704   | 0.0346 | 12263 | -63.32   
Computing | 79     | 1        | 4        | 136704   | 0.0346 | 12263 | -63.32   
Bounding  | 79     | 1        | 4        | 136960   | 0.0320 | 12295 | -63.32   
Sampling  | 80     | 1        | 4        | 136960   | 0.0202 | 11668 | -63.35   
Computing | 80     | 1        | 4        | 136960   | 0.0202 | 11668 | -63.35   
Sampling  | 80     | 1        | 4        | 137216   | 0.0262 | 12306 | -63.32   
Computing | 80     | 1        | 4        | 137216   | 0.0262 | 12306 | -63.32   
Sampling  | 80     | 1        | 4        | 137472   | 0.0229 | 12325 | -63.32   
Computing | 80     | 1        | 4        | 137472   | 0.0229 | 12325 | -63.32   
Sampling  | 80     | 1        | 4        | 137728   | 0.0206 | 12343 | -63.32   
Computing | 80     | 1        | 4        | 137728   | 0.0206 | 12343 | -63.32   
Sampling  | 80     | 1        | 4        | 137984   | 0.0187 | 12355 | -63.32   
Computing | 80     | 1        | 4        | 137984   | 0.0187 | 12355 | -63.32   
Bounding  | 80     | 1        | 4        | 138240   | 0.0173 | 12367 | -63.32   
Sampling  | 81     | 1        | 4        | 138240   | 0.0115 | 11979 | -63.34   
Computing | 81     | 1        | 4        | 138240   | 0.0115 | 11979 | -63.34   
Sampling  | 81     | 1        | 4        | 138496   | 0.0147 | 12376 | -63.32   
Computing | 81     | 1        | 4        | 138496   | 0.0147 | 12376 | -63.32   
Sampling  | 81     | 1        | 4        | 138752   | 0.0128 | 12383 | -63.32   
Computing | 81     | 1        | 4        | 138752   | 0.0128 | 12383 | -63.32   
Sampling  | 81     | 1        | 4        | 139008   | 0.0114 | 12386 | -63.32   
Computing | 81     | 1        | 4        | 139008   | 0.0114 | 12386 | -63.32   
Sampling  | 81     | 1        | 4        | 139264   | 0.0103 | 12390 | -63.32   
Computing | 81     | 1        | 4        | 139264   | 0.0103 | 12390 | -63.32   
Sampling  | 81     | 1        | 4        | 139520   | N/A    | 0     | N/A      
Computing | 81     | 1        | 4        | 139520   | N/A    | 0     | N/A      
Sampling  | 81     | 1        | 4        | 139776   | N/A    | 1     | -5609524.
Computing | 81     | 1        | 4        | 139776   | N/A    | 1     | -5609524.
Sampling  | 81     | 1        | 4        | 140032   | N/A    | 1     | -5609524.
Computing | 81     | 1        | 4        | 140032   | N/A    | 1     | -5609524.
Sampling  | 81     | 1        | 4        | 140288   | N/A    | 1     | -3697394.
Computing | 81     | 1        | 4        | 140288   | N/A    | 1     | -3697394.
